Player, Salary
Trae Young,$40064220
Onyeka Okongwu,$8109063
Dejounte Murray,$18214000
Wesley Matthews,$2019706
Garrison Mathews,$2000000
Jalen Johnson,$2925360
De'Andre Hunter,$20089286
Mouhamed Gueye,$1119563
AJ Griffin,$3712920
Trent Forrest,$533945
Bruno Fernando,$2581522
Clint Capela,$20616000
Kobe Bufkin,$4094280
Bogdan Bogdanović,$18700000
Saddiq Bey,$4556983
Derrick White,$18357143
Jordan Walsh,$1119563
Jayson Tatum,$32600060
Neemias Queta,$331253
Payton Pritchard,$4037277
Kristaps Porziņģis,$36016200
Svi Mykhailiuk,$2019706
Luke Kornet,$2413304
Al Horford,$10000000
Jrue Holiday,$36861707
Sam Hauser,$1927896
Jaylen Brown,$31830357
Oshae Brissett,$2165000
Jalen Wilson,$850000
Trendon Watford,$2019706
Lonnie Walker IV,$2019706
Cam Thomas,$2240160
Dennis Smith Jr.,$2019706
Ben Simmons,$37893408
Day'Ron Sharpe,$2210040
Dariq Whitehead,$2966040
Keon Johnson,$2808720
Cameron Johnson,$25679348
Dorian Finney-Smith,$13932008
Noah Clowney,$3089520
Nic Claxton,$9625000
Mikal Bridges,$21700000
Patrick Williams,$9835881
Coby White,$11111111
Nikola Vučević,$18518519
Dalen Terry,$3350760
Terry Taylor,$2019706
Julian Phillips,$1600000
Zach LaVine,$40064220
Javonte Green,$243758
Andre Drummond,$3360000
Ayo Dosunmu,$6481482
DeMar DeRozan,$28600000
Torrey Craig,$2528233
Alex Caruso,$9460000
Jevon Carter,$6190476
Onuralp Bitim,$500000
Mark Williams,$3908160
JT Thor,$1836096
Nick Smith Jr.,$2463960
Ish Smith,$2019706
Nick Richards,$5000000
Frank Ntilikina,$2019706
Brandon Miller,$10880400
Bryce McGowens,$1719864
Cody Martin,$7560000
Miles Bridges,$7921300
James Bouknight,$4570080
LaMelo Ball,$10900635
Dean Wade,$5709877
Tristan Thompson,$2019706
Max Strus,$14487684
Craig Porter Jr.,$1500000
Isaac Okoro,$8920795
Georges Niang,$8800000
Pete Nance,$64343
Evan Mobley,$8882640
Donovan Mitchell,$33162030
Sam Merrill,$1997238
Caris LeVert,$15384616
Damian Jones,$2586665
Ty Jerome,$2439025
Darius Garland,$34005250
Jarrett Allen,$20000000
Olivier-Maxence Prosper,$2733720
Dwight Powell,$4000000
Markieff Morris,$2019706
Dereck Lively II,$4775640
A.J. Lawson,$1000000
Maxi Kleber,$11000000
Derrick Jones Jr.,$5379706
Kyrie Irving,$37037037
Jaden Hardy,$1719864
Tim Hardaway Jr.,$17897728
Josh Green,$4765339
Dante Exum,$3000000
Luka Dončić,$40064220
